Time,Ambient,Heater,Duty Cycle
2019-04-25 18:35:24,20.5,50.5,2.6
2019-04-25 18:35:25,20.5,50.25,2.6
2019-04-25 18:35:25,20.44,50.5
2019-04-25 18:35:26,20.5,50.25,8.9
2019-04-25 18:35:26,20.5,50.5
2019-04-25 18:35:26,20.5,50.5,8.9
2019-04-25 18:35:27,20.12,50.25,0.9
2019-04-25 18:35:27,20.5,50.5
2019-04-25 18:35:27,20.5,50.75,8.8
2019-04-25 18:35:28,20.44,50.25,5.0
2019-04-25 18:35:28,20.44,50.5
2019-04-25 18:35:29,20.5,50.5,10.3
2019-04-25 18:35:29,20.5,50.25,0.7
2019-04-25 18:35:29,20.5,50.5
2019-04-25 18:35:30,20.5,50.5,8.6
2019-04-25 18:35:30,20.44,50.5,0.7
2019-04-25 18:35:30,20.5,50.25,2.2
2019-04-25 18:35:31,20.5,50.5
2019-04-25 18:35:31,20.5,50.25,8.6
2019-04-25 18:35:31,20.5,50.5
2019-04-25 18:35:32,20.5,50.25,8.5
2019-04-25 18:35:32,20.5,50.5
2019-04-25 18:35:33,20.5,50.25,8.4
2019-04-25 18:35:33,20.5,50.5
2019-04-25 18:35:33,20.5,50.25,8.4
2019-04-25 18:35:34,20.62,50.25
2019-04-25 18:35:34,20.5,50.25,4.2
2019-04-25 18:35:34,20.5,50.25,2.6
2019-04-25 18:35:35,20.5,50.25,2.6
2019-04-25 18:35:35,20.5,50.25,2.6
2019-04-25 18:35:36,20.5,50.25,2.5
2019-04-25 18:35:36,20.5,50.25,2.5
2019-04-25 18:35:36,20.5,50.25,2.5
2019-04-25 18:35:37,20.5,50.25,2.5
2019-04-25 18:35:37,20.5,50.25,2.5
2019-04-25 18:35:37,20.5,50.5,2.5
2019-04-25 18:35:38,20.5,50.25,6.6
2019-04-25 18:35:38,20.5,50.25
2019-04-25 18:35:39,20.5,50.25,4.0
2019-04-25 18:35:39,20.5,50.0,2.4
2019-04-25 18:35:39,20.25,50.25
2019-04-25 18:35:40,20.5,50.25,8.7
2019-04-25 18:35:40,20.5,50.0,0.8
2019-04-25 18:35:40,20.5,50.25
2019-04-25 18:35:41,20.5,50.25,8.7
2019-04-25 18:35:41,20.5,50.75,0.8
2019-04-25 18:35:41,21.12,50.25,10.7
2019-04-25 18:35:42,20.81,50.0
2019-04-25 18:35:42,20.5,50.0,1.3
2019-04-25 18:35:43,20.5,50.0,4.5
2019-04-25 18:35:43,20.5,50.0,2.9
2019-04-25 18:35:43,20.5,50.0,2.9
2019-04-25 18:35:44,20.5,50.0,2.9
2019-04-25 18:35:44,20.5,50.0,2.9
2019-04-25 18:35:44,20.19,49.75,2.9
2019-04-25 18:35:45,20.5,50.0
2019-04-25 18:35:45,20.5,49.75,9.3
2019-04-25 18:35:46,20.5,50.0
2019-04-25 18:35:46,20.5,49.75,9.2
2019-04-25 18:35:46,20.19,50.0
2019-04-25 18:35:47,20.5,49.75,9.3
2019-04-25 18:35:47,20.44,49.75
2019-04-25 18:35:47,20.44,49.5,5.1
2019-04-25 18:35:48,20.31,49.75
2019-04-25 18:35:48,20.5,49.75,9.9
2019-04-25 18:35:49,20.5,50.0,2.0
2019-04-25 18:35:49,20.75,49.5,7.8
2019-04-25 18:35:49,20.19,49.75
2019-04-25 18:35:50,20.5,49.75,11.6
2019-04-25 18:35:50,20.5,49.75,2.1
2019-04-25 18:35:50,20.5,49.75,3.7
2019-04-25 18:35:51,20.5,49.75,3.7
2019-04-25 18:35:51,20.5,50.0,3.7
2019-04-25 18:35:52,20.5,49.75,7.9
2019-04-25 18:35:52,20.5,49.75
2019-04-25 18:35:52,20.5,49.75,5.3
2019-04-25 18:35:53,20.5,49.75,3.7
2019-04-25 18:35:53,20.5,49.5,3.7
2019-04-25 18:35:53,20.5,49.75
2019-04-25 18:35:54,20.5,49.5,10.1
2019-04-25 18:35:54,20.5,49.75
2019-04-25 18:35:54,20.5,49.5,10.2
2019-04-25 18:35:55,20.5,49.75
2019-04-25 18:35:55,20.5,50.0,10.2
2019-04-25 18:35:56,20.5,49.75,6.5
2019-04-25 18:35:56,20.5,49.75
2019-04-25 18:35:56,20.5,49.5,5.5
2019-04-25 18:35:57,20.5,49.75
2019-04-25 18:35:57,20.5,49.75,10.3
2019-04-25 18:35:57,20.5,49.75,2.4
2019-04-25 18:35:58,20.5,49.5,4.0
2019-04-25 18:35:58,20.56,49.75
2019-04-25 18:35:59,20.5,49.5,10.4
2019-04-25 18:35:59,20.5,49.75
2019-04-25 18:35:59,20.5,49.5,10.4
2019-04-25 18:36:00,20.5,49.75
2019-04-25 18:36:00,20.5,49.0,10.5
2019-04-25 18:36:00,20.5,49.75
2019-04-25 18:36:01,20.5,49.5,23.2
2019-04-25 18:36:01,20.5,49.75
2019-04-25 18:36:02,20.5,49.5,10.6
2019-04-25 18:36:02,20.5,49.75
2019-04-25 18:36:02,20.5,49.5,10.6
2019-04-25 18:36:03,20.5,49.5
2019-04-25 18:36:03,20.5,49.5,6.5
2019-04-25 18:36:03,20.44,49.75,5.0
2019-04-25 18:36:04,20.5,49.75,9.2
2019-04-25 18:36:04,20.5,49.75,2.8
2019-04-25 18:36:04,20.56,49.5,4.4
2019-04-25 18:36:05,20.5,49.75,0.3
2019-04-25 18:36:05,20.5,49.75,10.8
2019-04-25 18:36:06,20.5,49.75,2.9
2019-04-25 18:36:06,21.12,49.75,4.5
2019-04-25 18:36:06,20.5,49.75,4.5
2019-04-25 18:36:07,20.5,49.75,4.5
2019-04-25 18:36:07,20.5,49.75,4.5
2019-04-25 18:36:07,20.5,49.75,4.5
2019-04-25 18:36:08,20.5,49.75,4.6
2019-04-25 18:36:08,20.5,49.5,4.6
2019-04-25 18:36:09,20.5,49.75,0.4
2019-04-25 18:36:09,20.5,49.75,11.0
2019-04-25 18:36:09,20.5,49.75,3.1
2019-04-25 18:36:10,20.5,49.5,4.6
2019-04-25 18:36:10,20.5,49.75,0.5
2019-04-25 18:36:10,20.5,49.5,11.0
2019-04-25 18:36:11,20.5,49.75
2019-04-25 18:36:11,20.5,49.75,11.1
2019-04-25 18:36:12,20.37,49.75,3.2
2019-04-25 18:36:12,20.5,49.5,4.8
2019-04-25 18:36:12,20.5,49.75,0.6
2019-04-25 18:36:13,20.5,50.25,11.2
2019-04-25 18:36:13,20.5,49.75,11.5
2019-04-25 18:36:13,20.5,49.75
2019-04-25 18:36:14,20.5,49.75,8.0
2019-04-25 18:36:14,20.5,49.5,4.8
2019-04-25 18:36:14,20.5,49.75,0.7
2019-04-25 18:36:15,20.37,49.75,11.3
2019-04-25 18:36:15,20.5,49.75,3.3
2019-04-25 18:36:16,20.56,49.5,4.9
2019-04-25 18:36:16,20.5,50.0,0.8
2019-04-25 18:36:16,20.69,49.75,15.5
2019-04-25 18:36:17,20.5,50.0
2019-04-25 18:36:17,20.5,49.75,10.7
2019-04-25 18:36:17,20.5,50.0
2019-04-25 18:36:18,20.5,49.75,10.7
2019-04-25 18:36:18,20.5,50.0
2019-04-25 18:36:19,20.5,49.5,10.8
2019-04-25 18:36:19,20.5,50.0
2019-04-25 18:36:19,20.5,49.75,17.1
2019-04-25 18:36:20,20.5,50.0
2019-04-25 18:36:20,20.5,49.75,10.8
2019-04-25 18:36:20,20.5,50.0
2019-04-25 18:36:21,20.5,50.0,10.8
2019-04-25 18:36:21,20.5,49.75,2.9
